name,aliases,note,birth_label,birth_calendar_era,birth_start_year,birth_end_year,birth_is_approximate,death_label,death_calendar_era,death_start_year,death_end_year,death_is_approximate,regions,religions,sects,periods
マルクス・アウレリウス・アントニヌス,Marcus Aurelius,Pantheon職業: Politician / 出生国: Italy / 出生地: Rome,,CE,121,,false,,CE,180,,false,,,,
マクシミリアン・ロベスピエール,Maximilien Robespierre,Pantheon職業: Politician / 出生国: France / 出生地: Arras,,CE,1758,,false,,CE,1794,,false,,,,
イーゴリ・ストラヴィンスキー,Igor Stravinsky,"Pantheon職業: Composer / 出生国: Russia / 出生地: Lomonosov, Russia",,CE,1882,,false,,CE,1971,,false,,,,
グスタフ・マーラー,Gustav Mahler,Pantheon職業: Composer / 出生国: Czechia / 出生地: Kaliště (Pelhřimov District),,CE,1860,,false,,CE,1911,,false,,,,
ジャン＝ポール・サルトル,Jean-Paul Sartre,Pantheon職業: Writer / 出生国: France / 出生地: Paris,,CE,1905,,false,,CE,1980,,false,,,,
ヨハネス・フェルメール,Johannes Vermeer,Pantheon職業: Painter / 出生国: Netherlands / 出生地: Delft,,CE,1632,,false,,CE,1675,,false,,,,
ネフェルティティ,Nefertiti,"Pantheon職業: Companion / 出生国: Egypt / 出生地: Thebes, Egypt",,BCE,1400,,false,,BCE,1330,,false,,,,
T・S・エリオット,T. S. Eliot,Pantheon職業: Writer / 出生国: United States / 出生地: St. Louis,,CE,1888,,false,,CE,1965,,false,,,,
サンドロ・ボッティチェッリ,Sandro Botticelli,Pantheon職業: Painter / 出生国: Italy / 出生地: Florence,,CE,1445,,false,,CE,1510,,false,,,,
マンサ・ムーサ,Mansa Musa,Pantheon職業: Politician / 出生国: Mali,,CE,1280,,false,,CE,1337,,false,,,,
マックス・ヴェーバー,Max Weber,Pantheon職業: Sociologist / 出生国: Germany / 出生地: Erfurt,,CE,1864,,false,,CE,1920,,false,,,,
ユーリイ・ガガーリン,Yuri Gagarin,Pantheon職業: Astronaut / 出生国: Russia / 出生地: Klushino,,CE,1934,,false,,CE,1968,,false,,,,
